ProductName,Description,Predicted productBrand,Predicted Color,Predicted Gender
Fastrack Women Blue Analogue Watch 68010SL02,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Pink regular, leather strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case",Fastrack,Blue,Women
Cottinfab Women Green Solid Basic Jumpsuit,"Green solid basic jumpsuit with tie-up and pleated detail, has a shirt collar, short sleeves, button closure, two pockets",Cottinfab, Green,Women
Fastrack Women Black Analogue Watch 68009PP09,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round plastic dialFeatures: Reset TimeStrap style: Black regular, silicon strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturerComes in a Fastrack case",Fastrack, Black,Women
Roadster Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,"Blue medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",Roadster,Blue,Women
Roadster Women Black Skinny Fit Mid-Rise Low Distress Stretchable Cropped Jeans,"Black dark wash 5-pocket mid-rise jeans, low distress, light fade, has a button and zip closure, and waistband with belt loops",Roadster, Black,Women
Titan Women White Analogue Watch 95061WD02,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Embellished round stainless steel dialFeatures: Reset TimeStrap style: Rose Gold-Toned bracelet style, stainless steel strap with a butterfly closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan, White,Women
Carrera Men Olive Green Sneakers,"A pair of round-toe olive green sneakers, has regular styling, lace-up detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer",Carrera, Green,Men
ColorPlus Men White & Blue Slim Fit Checked Casual Shirt,"White and Blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",ColorPlus,Blue,Men
CODE by Lifestyle Men Black Slim Fit Striped Peg Trousers,"Black striped mid-rise trousers, drawstring closure, and 4 pockets",CODE by Lifestyle, Black,Men
Fame Forever by Lifestyle Men Blue Solid V-Neck T-shirt,"Blue solid T-shirt, has a V-neck, and short sleeves",Fame Forever by Lifestyle,Blue,Men
Roadster Women Blue Skinny Fit Mid-Rise Clean Look Bleached Cropped Stretchable Jeans,"Blue medium wash 5-pocket bleached cropped mid-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",Roadster,Blue,Women
Red Tape Men Tan Brown Leather Formal Derbys,"A pair of tan brown round-toed formal derbys, has central lace-upsLeather upperCushioned footbedTextured PVC outsole, has a stacked heelWarranty: 3 months against manufacturing defectsWarranty provided by brand/manufacturer",Red Tape, Red,Men
Soumya Turquoise Blue Single Window Curtains,Set content: Single Window curtainColour: Turquoise BluePattern: Self Design WindowLight blocking: RegularFitting: Eyelet,Soumya,Blue,Unisex
ColorPlus Men Blue Tailored Fit Self Design Casual Shirt,"Blue self-design casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",ColorPlus,Blue,Men
Titan Men Grey Analogue Watch 1806KM01,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset Time, Date ApertureStrap style: Steel Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturerComes in a Titan case",Titan, Grey,Men
Soumya White & Blue Single Window Curtain,Set content: Single Window curtainColour: White and BluePattern: GeometricLight blocking: RegularFitting: EyeletLining: No,Soumya,Blue,Unisex
ColorPlus Men Blue Regular Fit Printed Casual Shirt,"Blue printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",ColorPlus,Blue,Men
Titan Mechanical Men Blue Analogue watch 90111WL01,"Display: AnalogueMovement: AutomaticPower source: BatteryDial style: Skeleton round stainless steel dialFeatures: Reset TimeStrap style: Brown regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturerComes in a Titan case",Titan,Blue,Men
Roadster Men Navy Blue Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans,"Navy Blue medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",Roadster,Blue,Men
Zoop Unisex Kids White & Red Analogue Watch C4048PP30,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round plastic dialFeatures: Reset TimeStrap style: Red regular, rubber strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Zoop case",Zoop, Red,Unisex Kids
ColorPlus Men Blue Tailored Fit Solid Casual Shirt,"Blue solid casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",ColorPlus,Blue,Men
Metro Women Gold-Toned Solid Sandals,"A pair of gold-toned open toe sandals, has regular styling, open back detailSynthetic upperCushioned footbedTextured and patterned outsole, has a wedge heelWarranty: 1 monthWarranty provided by brand/manufacturer",Metro, Gold,Women
Cherry Crumble Unisex Yellow Printed Sweater,"Yellow printed sweater, has a mock collar, long sleeves, and straight hem",Cherry Crumble, Yellow,Unisex Kids
Marks & Spencer Women Blue Super Skinny Fit Mid-Rise Clean Look Stretchable Jeans,"Blue medium wash 5-pocket mid-rise jeans with frayed hem, clean look, light fade, has a button and zip closure, and waistband with belt loops",Marks & Spencer,Blue,Women
IMYOUNG Men Red & Green Slim Fit Checked Casual Shirt,"Red, green and blue checked casual shirt, has a spread collar, short sleeves, button placket, curved hem, and 1 patch pocket",IMYOUNG,Blue,Men
Veni Vidi Vici Black Ruched Bodycon Dress,"Black solid knitted bodycon dress with tie-ups detail, has shoulder straps, sleeveless, and straight hem",Veni Vidi Vici, Black,Women
Titan Gents Clsq Men Brown Analogue watch NL90100KM01,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan, Brown,Men
ColorPlus Men Blue Tailored Fit Checked Casual Shirt,"Blue checked casual shirt, has a spread collar, short sleeves, button placket, curved hem, and 1 patch pocket",ColorPlus,Blue,Men
Cottinfab Women Mustard Yellow Solid Basic Jumpsuit,"Mustard yellow solid basic jumpsuit with gathers detail, has a round neck, sleeveless, concealed zip",Cottinfab, Yellow,Women
CODE by Lifestyle Men Red Regular Fit Self Design Formal Shirt,"Red self-design formal shirt, has a spread collar, long sleeves, button placket, and curved hem",CODE by Lifestyle, Red,Men
CODE by Lifestyle Men Blue Slim Fit Solid Formal Shirt,"Blue solid formal shirt, has a spread collar, long sleeves, button placket, and curved hem",CODE by Lifestyle,Blue,Men
CHUTPUT Kids Grey & Black Self Design Sweater,"Grey and black self-design sweater, has a round neck, long sleeves, button closure, and ribbed hemComes with a beanie cap",CHUTPUT, Black,Unisex Kids
ColorPlus Men Brown Regular Fit Checked Casual Shirt,"Brown checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",ColorPlus, Brown,Men
ColorPlus Men Blue Regular Fit Checked Casual Shirt,"Blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 flap pocket",ColorPlus,Blue,Men
Roadster Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans,"Blue medium wash 5-pocket mid-rise jeans, mildly distressed, light fade, has a button and zip closure, and waistband with belt loops",Roadster,Blue,Women
Elizabeth Arden New York Plush Up Poppy Pout Lip Gelato 16,"Shade namePoppy Pout 16What it isCreamy gel formula lipstickWhat it doesThis addictive gel formula melts onto lips leaving a sheer, shiny finishLips are instantly cooled and appear plumped for a fuller lookThe sweet gelato flavor creates an addiction that will keep you wanting to come back for moreSmoothens and conditions while helping to create fuller looking lipsSoothes, protects and helps lock in moistureRich in antioxidants, leaves lips feeling soft and nourishedIngredientsPeptidesHylauronic AcidShea ButterRosemerry extractVitamin A and E",Elizabeth Arden,nan,Women
Shaily Cream-Coloured & Blue Pure Georgette Printed Saree,"Design Detail:Cream-Coloured and Blue   printed saree and has a printed border Blouse PieceThe model is wearing a blouse from our stylists collection, see the image for a mock-up of what the actual blouse would look likeFabric:Georgette is a lightweight fabric that displays an overall bouncy look. It is sheer and comes in both translucent and opaque textures.",Shaily,Blue,Women
Roadster Women Blue Skinny Fit Mid-Rise Ankle Length Mildly Distressed Stretchable Jeans,"Blue medium wash 5-pocket mid-rise jeans, mildly distressed, light fade, has a button and zip closure, waistband with belt loops, ankle length",Roadster,Blue,Women
CLAY CRAFT White Set of 4 Tail-Shaped Dipping Bowls,Content: 4 tail-shaped bowlsPattern: SolidFinish: GlossyMaterial: CeramicFeatures: Dishwasher and microwave safe,CLAY CRAFT, White,Unisex
Fastrack Men Grey Digital Watch 38047PP03,"Display: DigitalMovement: ElectronicPower source: BatteryDial style: Solid round plastic dialFeatures: Multi Function, Chronograph, TimerStrap style: Grey textured, silicon strap with a tang closureWater resistance: 100 mGuarantee: 2 yearsGuarantee provided by brand/manufacturerComes in a signature Fastrack case",Fastrack, Grey,Men
Veni Vidi Vici Women Dusty Pink Solid Fitted Crop Top,"Pink solid knitted fitted crop top with tie-ups detail, has shoulder straps, and sleeveless",Veni Vidi Vici, Pink,Women
Abhishti Women Blue & White Printed Kurta with Palazzos,"Blue and white printed kurta with palazzosBlue A-line knee length kurta, has a mandarin collar, sleeveless, flared hemWhite solid palazzos, slip-on closure",Abhishti,Blue,Women
Marks & Spencer Women Orange Slim Fit Solid Regular Cropped Trousers,"Orange solid mid-rise knitted cropped trousers, has a partially elasticated waistband, hook and bar closure, zip fly, and two pockets",Marks & Spencer, Orange,Women
Roadster Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans,"Blue light wash 5-pocket mid-rise Cropped  jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",Roadster,Blue,Women
Veni Vidi Vici Women Dusty Pink Solid Bardot Crop Top,"Dusty pink solid knitted bardot crop top with knot detail, has shoulder straps, and short sleeves",Veni Vidi Vici, Pink,Women
Coolers Men Black Leather Fisherman Sandals,A pair of black fisherman sandalsLeather upper with velcro closureCushioned footbedPatterned rubber outsole,Coolers, Black,Men
Shaily Blue Printed Cotton Blend Saree,"Design Detail:Blue   printed saree and has a printed border Blouse PieceThe model is wearing a blouse from our stylists collection, see the image for a mock-up of what the actual blouse would look likeFabric:Satin is a weave that typically has a glossy surface and a dull back. It has a good drape, elasticity and renowned for being a luxurious fabric.",Shaily,Blue,Women
Chhabra 555 Orange Art Silk Woven Design Banarasi Saree,"Orange banarasi  woven design saree and has a zari border Blouse PieceThe model is wearing a blouse from our stylist's collection, see the image for a mock-up of what the actual blouse would look like",Chhabra 555, Orange,Women
CODE by Lifestyle Men Grey Regular Fit Printed Formal Shirt,"Grey printed formal shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",CODE by Lifestyle, Grey,Men
Crunchy Fashion Women Silver-Plated Stone-Studded Finger Ring,Peach-coloured and silver-plated finger ring with stone-studded centerpiece.,Crunchy Fashion, Silver,Women
Soumya White & Yellow Single Window Curtain,Set content: Single Window curtainsColour: White and YellowPattern: Floral WindowLight blocking: RegularFitting: EyeletLining: No,Soumya, Yellow,Unisex
Arrow Sport Brown & Blue Woollen Sleeveless Sweater,"Brown and blue pattern woven sweater, has a V-neck, sleeveless, ribbed hem",Arrow Sport,Blue,Men
Arrow Sport Blue & Grey Woollen Sweater,"Blue and grey sweater, has a V-neck, long sleeves",Arrow Sport,Blue,Men
Mitera Orange & Brown Poly Georgette Embroidered Saree,"Orange and Brown   embroidered saree and has an embroidered border Blouse PieceThe model is wearing a blouse from our stylist's collection, see the image for a mock-up of what the actual blouse would look like",Mitera, Red,Women
Veni Vidi Vici Women Burgundy Ruched Bodycon Dress,"Burgundy solid knitted bodycon dress with tie-ups detail, has shoulder straps, sleeveless, and straight hem",Veni Vidi Vici, Burgundy,Women
Yuris Women Off-White & Burgundy Printed Kurta with Palazzos,"Off-White and burgundy printed kurta with palazzosOff-White and burgundy printed straight calf length kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slitsBurgundy and white printed palazzos, has a partially elasticated waistband, concealed zip closure on the side, one pocket, slit detail on hems",Yuris, White,Women
Alcis Men Navy Blue Solid Slim Fit Training Track Pants,"Navy solid woven training track pant, has elasticated waistband, three pockets",Alcis,Blue,Men
Tokyo Talkies Women Navy Blue Sheath Dress,"Navy Blue self-design woven sheath dress, has a keyhole neck, three-quarter sleeves, concealed zip closure, an attached lining, and straight hem, has lace insert detail",Tokyo Talkies,Blue,Women
Flying Machine Navy Printed Hooded Sweatshirt,"Navy printed sweatshirt, has an attached hood with a drawstring fastening, long sleeves, a full zip closure, a split kangaroo pocket on the front, and fleece lined",Flying Machine, Navy,Men
Metro Women Black Solid Sandals,"A pair of black open toe sandals, has regular styling, backstrap detailSynthetic upperCushioned footbedTextured and patterned outsole, has a wedge heelWarranty: 1 monthWarranty provided by brand/manufacturer",Metro, Black,Women
HERE&NOW Women Black & Pink Printed Regular Fit Regular Shorts,"Black and pink printed mid-rise regular shorts, has 2 pockets, and drawstring closure",HERE&NOW, Black,Women
Park Avenue Men Blue Single-Breasted Formal Slim Fit  Suit,"This suit contains a single-breasted blazer and a pair of trousersBlue solid blazer, has a notched lapel, single-breasted with double button closures, long sleeves, padded shoulders, one welt pocket, two flap pockets, attached lining, and a vented back hemA pair of blue formal trousers, has a waistband with belt loops, a button and zip fly closure, four pockets",Park Avenue,Blue,Men
Soumya Off-White & Pink Single Long Door Curtain,Set content: Single Long Door curtainColour: Off-White and PinkPattern: Floral Long DoorLight blocking: RegularFitting: Eyelet,Soumya, White,Unisex
CODE by Lifestyle Men Blue Slim Fit Self Design Formal Shirt,"Blue self-design formal shirt, has a slim collar, long sleeves, button placket, curved hem, and 1 patch pocket",CODE by Lifestyle,Blue,Men
Fame Forever by Lifestyle Men Blue & Black Slim Fit Checked Casual Shirt,"Blue and Black checked casual shirt, has a slim collar, long sleeves, button placket, curved hem, and 1 patch pocket",Fame Forever by Lifestyle,Blue,Men
Titan Forever Kolkata Men Black Analogue watch 1740WL02,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round stainless steel dialFeatures: Reset TimeStrap style: Brown regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan, Black,Men
Roadster Women Blue Skinny Fit Mid-Rise Highly Distressed Stretchable Jeans,"Blue medium wash 5-pocket mid-rise jeans with printed detail, highly distressed, light fade, has a button and zip closure, and waistband with belt loops",Roadster,Blue,Women
Respiro Men Brown Formal Slip-Ons,"A pair of brown round-toed formal slip-on shoes, has elasticated gussets on both sidesSynthetic leather upperCushioned footbedTextured PVC outsoleWarranty: 1 month against manufacturing defectsWarranty provided by brand/manufacturer.",Respiro, Brown,Men
berrytree Girls Pink T-shirt Organic Cotton Sustainable Dress,"Pink printed knitted t-shirt %S, has a round neck, short sleeves, and flared hem",berrytree, Pink,Girls
trueBrowns Women Beige Solid Straight Kurta,"Beige solid straight kurta, has a round neck, three-quarter sleeves, curved hem, and side slits",trueBrowns, Brown,Women
Veni Vidi Vici Women Assorted Bardot Crop Top,"Assorted solid knitted bardot top, has an off-shoulder neck, long sleevesDisclaimer: The final product delivered might vary in colour and prints from the display here",Veni Vidi Vici,nan,Women
Trend Arrest Women Black & Pink Printed Flared Palazzos,"A pair of black and pink printed woven flared palazzos, slip-on closure",Trend Arrest, Red,Women
Besiva Women Pink Solid Round Neck T-shirt,"Pink solid T-shirt, has a round neck, and short sleeves",Besiva, Pink,Women
Cottinfab Women Olive Brown Solid Layered Playsuit,"Olive brown solid layered playsuit with waist tie-up, has a round neck with keyhole neck, short cold-shoulder sleeves, concealed zip closure, two pockets",Cottinfab, Red,Women
Coolers Men Black Solid Sandals,A pair of black comfort sandalsSynthetic upper with slip-on closureCushioned footbedPatterned rubber outsole,Coolers, Black,Men
Fame Forever by Lifestyle Men Off-White & Blue Slim Fit Solid Regular Trousers,"Off-white and blue solid mid-rise has button closure, four pocketsThe product does not come with the belt",Fame Forever by Lifestyle,Blue,Men
Red Tape Men Brown Leather Formal Brogues,"A pair of brown round-toed formal brogues, has central lace-upsLeather upper, has perforationsCushioned footbedTextured TPR outsoleWarranty: 3 months against manufacturing defectsWarranty provided by brand/manufacturer",Red Tape, Red,Men
Fastrack Women Blue Analogue Watch,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Silver-Toned bracelet style, metal strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case",Fastrack,Blue,Women
Soumya Blue & White Printed Single Window Curtain,Set content: Single Window curtainColour: Blue and whitePattern: AbstractLight blocking: RegularFitting: EyeletLining: No,Soumya,Blue,Unisex
Fame Forever by Lifestyle Men Blue & White Slim Fit Checked Casual Shirt,"Blue and White checked casual shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket",Fame Forever by Lifestyle,Blue,Men
Titan Raga Viva Women White Analogue watch NL2608YL01,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Brown regular, leather strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan, White,Women
Shaily Navy Blue & Yellow Pure Georgette Printed Saree,"Navy Blue and Yellow   printed saree and has a solid border Blouse PieceThe model is wearing a blouse from our stylist's collection, see the image for a mock-up of what the actual blouse would look like",Shaily,Blue,Women
C9 AIRWEAR Blue Solid Non-Wired Non Padded Sports Bra C9 AIRWEAR_P2224,Blue solid full-coverage sports braNon Padded and Non-Wired seamless cupsRegular straps and slip-onBack style: Styled BackFeature: All Day Comfort,C9 AIRWEAR,Blue,Women
INCOLOR Women Pink Jewel Queen 15 Lipstick 3.7g,"What It Is?:INCOLOR Women Jewel Queen 15 Lipstick 3.7gColour Shade Name:PinkWhat It Does?:Incolor's Jewel Queen Lipstick is a rich and nourishing lipstick packed with a creamy texture that glides on smoothly, is super long wearing and easy to apply. The lipstick glides on easily to deliver an instant pop of colour. It is specially formulated to provide your lips with a glossy finish and a moisturizing rich coverage for ultra-pigmented lips.Features:Ultra nourishing lip colour that delivers a full impact colourIt features a rich yet lightweight creme-based formulaProvides a silky smooth finish and a great colour pay offThe ultra comfortable formula, glides on like a dreamAbout The Brand:Established in 2009, INCOLOR is a leading global beauty company bringing a wide range of luxurious, high-quality makeup products at affordable prices. The products have international formulations and packaging with the premium appeal and high level of research to ensure that the products stand the test of quality and consistency.",INCOLOR, Pink,Women
Roadster Men Grey & Black Comfort Sandals,A pair of grey and black comfort sandalsSynthetic upper with slip-on closureCushioned footbedPatterned tpr outsoleWarranty: 1 monthWarranty provided by brand/manufacturer,Roadster, Black,Men
Zoop Digital Unisex Grey Digital watch NL16008PP01,"Display: DigitalMovement: ElectronicPower source: BatteryDial style: Solid round plastic dialFeatures: Reset TimeStrap style: Red regular, rubber strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Zoop case",Zoop, Grey,Unisex Kids
Roadster Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans,"Blue medium wash 5-pocket mid-rise jeans, mildly distressed, light fade, has a button and zip closure, and waistband with belt loops",Roadster,Blue,Women
SPYKAR Women Blue Selena Skinny Fit Low-Rise Clean Look Stretchable Jeans,"Blue medium wash 5-pocket low-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",SPYKAR,Blue,Women
Vishudh Women Olive Green Printed A-Line Layered Kurta,"Olive Green printed A-line kurta, has a keyhole neck, three-quarter sleeves, flared hem, and front slit",Vishudh, Green,Women
Titan Workwear Women Grey Analogue watch NL2596WL02,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Date ApertureStrap style: Grey regular, stainless steel strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan, Grey,Women
Cottinfab Women Black & Red Checked Playsuit,"Black and red checked playsuit, has a round neck, three-quarter cold-shoulder sleeves with slits, two pockets, concealed zip closure",Cottinfab, Red,Women
Fastrack Women Brown Analogue Watch 68009PP08,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Brown textured, silicon strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case",Fastrack, Brown,Women
LA LOFT Women Navy Blue Striped Top,"Navy Blue striped woven regular  top, has a V-neck, long sleeves, and button closure",LA LOFT,Blue,Women
Fastrack Men Blue Analogue Watch,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round metal dialFeatures: Reset TimeStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover and butterfly closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturerComes in a signature Fastrack case",Fastrack,Blue,Men
Sonata Utsav Men White Analogue watch NL7129YM01,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid rectangular metal dialFeatures: Reset TimeStrap style: Gold-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case",Sonata, White,Men
Titan Octane Men Black Analogue watch 90103KM03,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Chronograph, Reset TimeStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 100 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan, Black,Men
Fame Forever by Lifestyle Men Navy Blue Printed Round Neck T-shirt,"Navy Blue printed T-shirt, has a round neck, and short sleeves",Fame Forever by Lifestyle,Blue,Men
INCOLOR Women Pink Jewel Queen 10 Lipstick 3.7g,"What It Is?:INCOLOR Women Jewel Queen 10 Lipstick 3.7gColour Shade Name:PinkWhat It Does?:Incolor's Jewel Queen Lipstick is a rich and nourishing lipstick packed with a creamy texture that glides on smoothly, is super long wearing and easy to apply. The lipstick glides on easily to deliver an instant pop of colour. It is specially formulated to provide your lips with a glossy finish and a moisturizing rich coverage for ultra-pigmented lips.Features:Ultra nourishing lip colour that delivers a full impact colourIt features a rich yet lightweight creme-based formulaProvides a silky smooth finish and a great colour pay offThe ultra comfortable formula, glides on like a dreamAbout The Brand:Established in 2009, INCOLOR is a leading global beauty company bringing a wide range of luxurious, high-quality makeup products at affordable prices. The products have international formulations and packaging with the premium appeal and high level of research to ensure that the products stand the test of quality and consistency.",INCOLOR, Pink,Women
Roadster Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans,"Blue dark wash 5-pocket mid-rise jeans, mildly distressed, heavy fade, has a button and zip closure, and waistband with belt loops",Roadster,Blue,Women
Kraus Jeans Women Blue Super Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans K4050,"Blue light wash 5-pocket mid-rise cropped jeans, clean look, no fade, and has a slip-on closure",Kraus Jeans,Blue,Women
Shaily Cream-Coloured & Blue Pure Silk Woven Design Banarasi Saree,"Cream-coloured and blue Banarasi woven design saree, has a woven design borderBlouse PieceThe model is wearing a blouse from our stylist's collection, see the image for a mock-up of what the actual blouse would look like",Shaily,Blue,Women
Titan Edge Men Black Analogue watch 1595NL03,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Brown regular, leather strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan, Black,Men
Fame Forever by Lifestyle Men Mustard Yellow Solid V-Neck T-shirt,"Mustard yellow solid T-shirt, has a V-neck, and short sleeves",Fame Forever by Lifestyle, Yellow,Men
Sonata Essentials Men Off White Analogue watch 77082YL03,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Date ApertureStrap style: Brown regular, leather strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case",Sonata, White,Men
Veni Vidi Vici Women White Solid Bardot Crop Top,"White solid knitted bardot crop top, off-shoulder and has long sleeves",Veni Vidi Vici, White,Women
